views,favorite,post_info,price,car_name,year,A_C,emission_class,seats_amount,horsepower,color,"car_mileage, km","engine_capacity, cc",type_of_drive,doors,fuel,car_type,gearbox
54,1,posted 5 days ago,5000,Opel Insignia,2009,automatic A/C,Euro 5,5,160 HP (118 kW),blue,190000,2000,front,4/5 doors,diesel,caravan,automatic
183,2,posted a week ago,2450,Opel Insignia,2009,automatic A/C,Euro 4,5,160 HP (118 kW),black,270000,2000,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
34,0,posted 2 days ago,6250,Opel Insignia,2009,automatic A/C,Euro 6,5,160 HP (118 kW),blue,198366,1998,front,4/5 doors,diesel,limousine,automatic
37,0,posted 4 days ago,5500,Opel Insignia,2009,automatic A/C,Euro 5,5,160 HP (118 kW),black,304000,1998,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
43,0,posted 2 weeks ago,6000,Opel Insignia,2009,automatic A/C,Euro 4,5,160 HP (118 kW),gray,306000,2000,front,4/5 doors,diesel,limousine,automatic
78,1,posted 2 weeks ago,5500,Opel Insignia,2009,automatic A/C,Euro 5,5,131 HP (96 kW),black,230000,2000,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
11,0,posted today,6599,Opel Insignia,2009,automatic A/C,Euro 5,5,163 HP (120 kW),teget,230000,1998,front,4/5 doors,diesel,caravan,"manual, 6 speeds"
80,0,posted 4 weeks ago,5899,Opel Insignia,2009,automatic A/C,Euro 5,5,160 HP (118 kW),black,237000,2000,front,4/5 doors,diesel,hatchback,automatic
71,1,posted 3 weeks ago,6250,Opel Insignia,2009,automatic A/C,Euro 5,5,160 HP (118 kW),blue,197100,1998,front,4/5 doors,diesel,limousine,automatic
59,0,posted a week ago,5500,Opel Insignia,2009,automatic A/C,Euro 5,5,131 HP (96 kW),black,231647,2000,front,4/5 doors,diesel,limousine,"manual, 6 speeds"
446,3,updated 2 weeks ago,4000,Opel Insignia,2009,automatic A/C,,5,131 HP (96 kW),bordeaux,20000,2000,front,4/5 doors,diesel,limousine,automatic
114,1,posted 3 weeks ago,750,Opel Kadett,1991,no A/C,Euro 2,5,75 HP (55 kW),white,1000,1389,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
28,1,posted today,1000,Opel Kadett,1989,no A/C,Euro 3,5,75 HP (55 kW),red,459346,1400,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
53,1,posted 3 days ago,900,Opel Kadett,1989,no A/C,Euro 2,5,68 HP (50 kW),blue,300000,1300,front,2/3 doors,petrol,caravan,"manual, 4 speeds"
317,7,posted 2 weeks ago,200,Opel Kadett,1989,no A/C,Euro 2,5,60 HP (44 kW),blue,87365,1600,front,2/3 doors,petrol + gas,caravan,"manual, 4 speeds"
78,0,posted 2 days ago,580,Opel Kadett,1987,no A/C,Euro 1,5,60 HP (44 kW),red,280000,1600,front,4/5 doors,petrol + gas,limousine,"manual, 5 speeds"
60,3,yesterday,650,Opel Kadett,1987,no A/C,Euro 1,5,54 HP (40 kW),white,200000,1598,front,2/3 doors,diesel,coupe,"manual, 4 speeds"
48,3,posted 2 days ago,5500,Opel Kadett,1986,no A/C,Euro 1,5,75 HP (55 kW),bordeaux,47000,1297,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
53,1,posted a week ago,740,Opel Kadett,1986,no A/C,Euro 2,5,60 HP (44 kW),red,280599,1300,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
115,4,posted 3 days ago,700,Opel Kadett,1985,no A/C,Euro 1,5,53 HP (39 kW),blue,99736,1200,back,4/5 doors,petrol,limousine,"manual, 4 speeds"
165,8,posted 3 days ago,300,Opel Kadett,1983,no A/C,Euro 1,5,60 HP (44 kW),red,125000,1196,front,4/5 doors,petrol,hatchback,"manual, 4 speeds"
640,10,updated 2 weeks ago,1750,Opel Kadett,1972,no A/C,,5,41 HP (30 kW),red,123456,1100,front,2/3 doors,petrol,hatchback,"manual, 4 speeds"
172,0,updated a week ago,6499,Opel Karl,2015,manual A/C,Euro 6,4,75 HP (55 kW),red,114359,999,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
57,0,posted 5 days ago,8500,Opel Meriva,2018,automatic A/C,,5,136 HP (100 kW),gray,130000,1600,front,4/5 doors,diesel,suv,"manual, 6 speeds"
97,1,posted a week ago,5990,Opel Meriva,2016,manual A/C,Euro 6,5,120 HP (88 kW),white,220000,1364,front,4/5 doors,petrol + gas,minivan (MPV),"manual, 5 speeds"
66,1,posted a week ago,6490,Opel Meriva,2015,manual A/C,Euro 6,5,120 HP (88 kW),gray,139000,1364,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
52,0,posted 2 weeks ago,6200,Opel Meriva,2014,automatic A/C,Euro 6,5,136 HP (100 kW),brown,212700,1598,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
54,0,posted a week ago,5490,Opel Meriva,2013,manual A/C,Euro 5,5,120 HP (88 kW),orange,190302,1364,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
36,0,posted a week ago,6000,Opel Meriva,2013,manual A/C,Euro 5,5,131 HP (96 kW),gray,215500,1686,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
266,6,updated 2 weeks ago,4600,Opel Meriva,2012,manual A/C,Euro 5,5,75 HP (55 kW),gray,214563,1300,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
39,0,posted a week ago,4700,Opel Meriva,2011,automatic A/C,Euro 5,5,110 HP (81 kW),black,190250,1698,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
66,0,posted a week ago,4999,Opel Meriva,2011,automatic A/C,Euro 5,5,110 HP (81 kW),white,175634,1595,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
37,1,posted 5 days ago,6000,Opel Meriva,2011,manual A/C,Euro 5,5,140 HP (103 kW),black,130000,1400,front,4/5 doors,petrol,minivan (MPV),"manual, 6 speeds"
35,0,posted a week ago,5690,Opel Meriva,2011,automatic A/C,Euro 5,5,131 HP (96 kW),white,150000,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
117,6,posted a week ago,3500,Opel Meriva,2011,automatic A/C,Euro 4,5,90 HP (66 kW),gray,218000,1298,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
60,2,posted 5 days ago,5250,Opel Meriva,2011,automatic A/C,Euro 5,5,120 HP (88 kW),gray,177000,1364,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
26,1,posted 3 days ago,5250,Opel Meriva,2011,manual A/C,Euro 5,5,75 HP (55 kW),white,193000,1300,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
132,2,updated 2 weeks ago,4750,Opel Meriva,2011,automatic A/C,Euro 5,5,95 HP (70 kW),gray,22100,1300,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
32,1,posted 5 days ago,4990,Opel Meriva,2010,automatic A/C,Euro 5,5,109 HP (80 kW),gray,175000,1700,front,4/5 doors,diesel,hatchback,"manual, 6 speeds"
34,1,posted 3 days ago,5000,Opel Meriva,2010,automatic A/C,Euro 5,5,101 HP (74 kW),gray,152000,1390,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
76,1,posted 2 weeks ago,4590,Opel Meriva,2010,manual A/C,Euro 5,5,120 HP (88 kW),gray,146300,1364,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
62,0,posted a week ago,4600,Opel Meriva,2010,no A/C,Euro 4,5,101 HP (74 kW),red,220000,1390,front,4/5 doors,petrol,limousine,"manual, 5 speeds"
69,0,updated 2 weeks ago,5600,Opel Meriva,2010,manual A/C,Euro 5,5,101 HP (74 kW),brown,207789,1686,front,4/5 doors,diesel,minivan (MPV),semi-automatic
750,4,updated 2 weeks ago,4999,Opel Meriva,2010,manual A/C,Euro 5,5,131 HP (96 kW),gray,198171,1686,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
107,1,posted 3 weeks ago,3300,Opel Meriva,2009,automatic A/C,Euro 4,5,105 HP (77 kW),blue,195000,1598,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
58,0,posted a week ago,3099,Opel Meriva,2008,manual A/C,Euro 4,5,90 HP (66 kW),white,172000,1400,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
63,0,posted a week ago,2700,Opel Meriva,2008,manual A/C,,5,109 HP (80 kW),white,240000,1800,front,4/5 doors,petrol,hatchback,semi-automatic
440,4,posted a week ago,899,Opel Meriva,2008,manual A/C,Euro 4,5,90 HP (66 kW),gray,209477,1400,front,4/5 doors,petrol + gas,minivan (MPV),"manual, 5 speeds"
537,0,updated 2 weeks ago,2999,Opel Meriva,2008,automatic A/C,Euro 4,5,101 HP (74 kW),silver,286000,1698,front,4/5 doors,diesel,minivan (MPV),"manual, 6 speeds"
15,1,posted 2 days ago,3450,Opel Meriva,2008,automatic A/C,Euro 4,5,101 HP (74 kW),gray,210444,1686,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
85,1,posted 5 days ago,1700,Opel Meriva,2007,no A/C,,5,106 HP (78 kW),gray,196000,1696,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
560,14,updated 3 weeks ago,2650,Opel Meriva,2007,manual A/C,Euro 4,5,105 HP (77 kW),gray,141134,1598,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
2369,14,updated 2 weeks ago,3250,Opel Meriva,2007,no A/C,Euro 4,5,75 HP (55 kW),gray,175126,1300,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
39,0,posted 3 days ago,2700,Opel Meriva,2007,manual A/C,,5,75 HP (55 kW),gray,239000,1300,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
80,0,posted 6 days ago,2400,Opel Meriva,2007,manual A/C,,5,90 HP (66 kW),gray,281409,1400,front,4/5 doors,petrol + gas,minivan (MPV),"manual, 5 speeds"
28,0,posted 2 days ago,2250,Opel Meriva,2006,manual A/C,Euro 4,5,90 HP (66 kW),blue,243351,1398,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
81,0,updated a week ago,3100,Opel Meriva,2006,manual A/C,Euro 4,5,75 HP (55 kW),gray,212000,1248,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
105,1,posted 2 weeks ago,2000,Opel Meriva,2006,manual A/C,Euro 3,5,75 HP (55 kW),blue,212000,1248,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
193,1,posted 4 weeks ago,1800,Opel Meriva,2006,manual A/C,Euro 4,5,58 HP (43 kW),gray,210000,1400,front,4/5 doors,petrol + gas,minivan (MPV),"manual, 5 speeds"
229,0,updated 2 weeks ago,2900,Opel Meriva,2006,manual A/C,Euro 4,5,75 HP (55 kW),blue,234000,1348,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
67,2,posted 4 days ago,1500,Opel Meriva,2005,manual A/C,Euro 4,5,90 HP (66 kW),green,292700,1364,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
233,2,updated 5 days ago,1999,Opel Meriva,2005,automatic A/C,Euro 4,5,101 HP (74 kW),black,186000,1598,front,4/5 doors,petrol,hatchback,"manual, 5 speeds"
30,0,yesterday,1799,Opel Meriva,2005,automatic A/C,,5,90 HP (66 kW),red,11111,1400,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
190,0,updated 5 days ago,2600,Opel Meriva,2005,manual A/C,,5,90 HP (66 kW),black,215000,1364,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
434,6,posted 6 days ago,1550,Opel Meriva,2005,manual A/C,,5,105 HP (77 kW),black,141101,1598,front,4/5 doors,petrol,minivan (MPV),automatic
50,1,posted a week ago,2300,Opel Meriva,2005,manual A/C,Euro 5,5,117 HP (86 kW),gray,198000,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
126,2,posted 2 weeks ago,2150,Opel Meriva,2005,automatic A/C,Euro 3,5,105 HP (77 kW),black,185000,1595,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
61,1,posted a week ago,2100,Opel Meriva,2005,manual A/C,Euro 3,5,101 HP (74 kW),gray,179000,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
61,2,posted 2 weeks ago,2100,Opel Meriva,2005,automatic A/C,Euro 4,5,101 HP (74 kW),gray,280358,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
37,0,posted a week ago,2500,Opel Meriva,2005,manual A/C,,5,125 HP (92 kW),gray,218142,1796,front,4/5 doors,petrol + gas,limousine,automatic
170,6,posted a week ago,1500,Opel Meriva,2004,manual A/C,,5,101 HP (74 kW),black,269452,1700,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
19,0,posted today,2400,Opel Meriva,2004,automatic A/C,Euro 4,5,101 HP (74 kW),white,189630,1700,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
1141,2,updated a week ago,2000,Opel Meriva,2004,no A/C,,5,75 HP (55 kW),white,221000,1699,front,4/5 doors,diesel,hatchback,"manual, 5 speeds"
27,0,posted 2 days ago,2350,Opel Meriva,2004,manual A/C,Euro 4,5,101 HP (74 kW),gray,255000,1600,front,4/5 doors,petrol,minivan (MPV),"manual, 5 speeds"
483,5,updated today,2400,Opel Meriva,2004,manual A/C,Euro 4,5,101 HP (74 kW),gray,220000,1691,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
44,1,posted 4 days ago,2500,Opel Meriva,2004,manual A/C,Euro 4,5,75 HP (55 kW),blue,230000,1698,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
54,3,posted 6 days ago,2490,Opel Meriva,2004,automatic A/C,Euro 3,5,75 HP (55 kW),black,172073,1686,front,4/5 doors,diesel,minivan (MPV),"manual, 5 speeds"
46,1,posted 2 days ago,1850,Opel Meriva,2004,automatic A/C,Euro 3,5,75 HP (55 kW),gray,200000,1690,front,4/5 doors,diesel,limousine,"manual, 5 speeds"
